case_id,priority,area,route_or_journey,viewport_or_mode,expected_evidence,status,notes
R6-QA-001,P0,identity,Home / flagship entry,Desktop 1440x900,"Screenshot + no donor branding + clear OmSaravanaBhava/Murugan identity",PENDING_SOURCE,"Exact route confirmed after native source inventory"
R6-QA-002,P0,identity,Home / flagship entry,Mobile 390x844,"Screenshot + no clipping + usable primary navigation",PENDING_SOURCE,""
R6-QA-003,P0,navigation,Primary navigation,Keyboard only,"Tab order + visible focus + all primary links/actions reachable",PENDING_SOURCE,""
R6-QA-004,P0,navigation,Mobile menu,Mobile 390x844,"Open/close/menu navigation without dead controls or scroll lock defect",PENDING_SOURCE,""
R6-QA-005,P0,routing,Critical route deep refresh,Desktop,"HTTP/browser evidence for direct navigation and refresh without 404",PENDING_SOURCE,"Populate exact critical routes from inventory"
R6-QA-006,P0,routing,Unknown route / 404 behavior,Desktop+Mobile,"Branded recoverable not-found experience; no redirect loop",PENDING_SOURCE,""
R6-QA-007,P0,songs,Murugan song library journey,Desktop+Mobile,"Browse -> work/song -> canonical/readable layers -> back/navigation",PENDING_SOURCE,"Do not assume exact route name"
R6-QA-008,P0,thiruppugazh,Thiruppugazh journey,Desktop+Mobile,"Browse/search/select/read; verified text remains intact",PENDING_SOURCE,""
R6-QA-009,P0,mantra,Mantra/practice journey,Desktop+Mobile,"Entry -> source/status -> practice/read mode; no guarantee claims",PENDING_SOURCE,""
R6-QA-010,P0,temples,Arupadai Veedu discovery,Desktop+Mobile,"Six-abode discovery/navigation; source/status labels preserved",PENDING_SOURCE,""
R6-QA-011,P0,temples,Temple detail journey,Desktop+Mobile,"Open detail -> source/visitor information -> return/search",PENDING_SOURCE,""
R6-QA-012,P0,search,Global/source-aware search,Desktop+Mobile,"Tamil and English query examples; result relevance + source state visible",PENDING_SOURCE,""
R6-QA-013,P0,search,Zero-result search,Desktop+Mobile,"Graceful zero-result state; no fabricated answer/content",PENDING_SOURCE,""
R6-QA-014,P0,audio,Audio/read-aloud journey,Desktop+Mobile,"Play/pause/stop state; correct label for owned audio vs device read-aloud",PENDING_SOURCE,""
R6-QA-015,P0,audio,Page exit during playback,Desktop+Mobile,"No stuck controls/unhandled exception; expected playback policy documented",PENDING_SOURCE,""
R6-QA-016,P0,content,Canonical Tamil rendering,Desktop+Mobile,"Exact source characters render without mojibake/truncation",PENDING_SOURCE,"Canonical comparison evidence required"
R6-QA-017,P0,content,Layer separation,Desktop+Mobile,"Canonical / easy-reading / transliteration / meaning clearly distinguishable",PENDING_SOURCE,""
R6-QA-018,P0,content,Source and verification status,Desktop+Mobile,"Source reference + verification/publication state exposed where designed",PENDING_SOURCE,""
R6-QA-019,P0,i18n,Tamil UI/runtime,Desktop+Mobile,"Language switch/runtime persistence + major journeys usable",PENDING_SOURCE,"Scope confirmed after source inventory"
R6-QA-020,P0,i18n,English UI/runtime,Desktop+Mobile,"Language switch/runtime persistence + major journeys usable",PENDING_SOURCE,""
R6-QA-021,P0,i18n,Hindi candidate runtime,Desktop+Mobile,"No mixed/broken UI; language scope truthfully represented",PENDING_SOURCE,"Historical candidate; do not claim supported until pass"
R6-QA-022,P0,i18n,Telugu candidate runtime,Desktop+Mobile,"No mixed/broken UI; language scope truthfully represented",PENDING_SOURCE,"Historical candidate; do not claim supported until pass"
R6-QA-023,P0,i18n,Malayalam candidate runtime,Desktop+Mobile,"No mixed/broken UI; language scope truthfully represented",PENDING_SOURCE,"Historical candidate; do not claim supported until pass"
R6-QA-024,P0,i18n,Arabic candidate RTL runtime,Desktop+Mobile,"RTL direction/layout/controls/search/forms work without mirrored-content defects",PENDING_SOURCE,"Historical candidate; do not claim supported until pass"
R6-QA-025,P0,accessibility,Landmarks/headings/labels,Desktop,"Automated + manual evidence; one logical H1; named controls",PENDING_SOURCE,""
R6-QA-026,P0,accessibility,Focus management,Keyboard only,"No focus loss/trap except intentional modal containment",PENDING_SOURCE,""
R6-QA-027,P0,motion,Reduced motion,OS/browser reduced-motion,"Core meaning/function retained; decorative motion removed/reduced",PENDING_SOURCE,""
R6-QA-028,P0,responsive,Tablet layout,768x1024,"No horizontal overflow, overlap, clipped Tamil, unusable cards/controls",PENDING_SOURCE,""
R6-QA-029,P0,responsive,Small mobile layout,320x568,"No horizontal overflow; primary journeys remain usable",PENDING_SOURCE,""
R6-QA-030,P0,pwa,Installability/manifest,Supported browser,"Manifest validity + icons/name/start URL/display evidence",PENDING_SOURCE,"Only if native R6 supports PWA"
R6-QA-031,P0,pwa,Offline fallback,Offline/reload,"Previously promised offline behavior works or scope is explicitly reduced",PENDING_SOURCE,"Only if native R6 supports PWA"
R6-QA-032,P0,pwa,Service-worker update/reload,Desktop+Mobile,"No stale-shell loop; new version can activate safely",PENDING_SOURCE,"Only if native R6 supports PWA"
R6-QA-033,P0,seo,Canonical metadata,Rendered HTML,"Canonical/title/description/OG are correct for production domain",PENDING_SOURCE,""
R6-QA-034,P0,seo,robots/sitemap/hreflang,Static/network,"Valid production URLs; supported-language declarations only",PENDING_SOURCE,""
R6-QA-035,P0,security,Console/network baseline,Desktop,"No secrets, mixed content, unsafe external runtime, or repeated fatal errors",PENDING_SOURCE,""
R6-QA-036,P0,performance,Home flagship route,Mobile emulation + desktop,"Measured evidence against approved R6 performance budget",PENDING_SOURCE,"Budget finalized after source/asset inventory"
R6-QA-037,P0,performance,Image-heavy temple route,Mobile emulation,"Measured evidence; images correctly sized/lazy-loaded where appropriate",PENDING_SOURCE,""
R6-QA-038,P0,performance,Audio/content-heavy route,Mobile emulation,"Measured evidence; no excessive blocking payload or runaway memory",PENDING_SOURCE,""
R6-QA-039,P0,integrity,External links/source references,Desktop,"No broken critical sources; external behavior labelled and safe",PENDING_SOURCE,""
R6-QA-040,P0,release,Exact candidate commit,All evidence,"Evidence bundle records exact Git SHA and built artifact identity",PENDING_SOURCE,"Required before any owner production approval"
