asset_id,original_reference,source_context,status,replacement_reference,provenance_or_rights,evidence,notes
R6-ASSET-001,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-002,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-003,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-004,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-005,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-006,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-007,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-008,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-009,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-010,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-011,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-012,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-013,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-014,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-015,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-016,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-017,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-018,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-019,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-020,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-021,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-022,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-023,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-024,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-025,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-026,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-027,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-028,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-029,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-030,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-031,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-032,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-033,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-034,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-035,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-036,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-037,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-038,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-039,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-040,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-041,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-042,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-043,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-044,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-045,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-046,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-047,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-048,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-049,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-050,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-051,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
R6-ASSET-052,,,PENDING,,,,Awaiting exact unresolved reference path from hash-verified R6 recovery report
